Unique,State/Territory,Remoteness,Sex,Age Group,Death,To hospital,To another aged care service,Return to community,Other,Exits,Lives alone,Lives with family,Lives with others,Unknown,Not applicable,Admissions,Widowed,Married/De Facto,Divorced,Separated,Single,Unknown,Living
NSWMajor citiesMale70-74,NSW,Major cities,Male,70-74,277,18,11,29,12,347,100,144,16,0,31,291,114,331,215,69,280,29,1038
NSWMajor citiesFemale70-74,NSW,Major cities,Female,70-74,206,15,12,30,6,269,73,95,8,0,13,189,364,330,207,48,173,32,1154
NSWInner regionalMale70-74,NSW,Inner regional,Male,70-74,108,3,2,7,5,125,42,40,5,0,8,95,37,128,61,30,91,13,360
NSWInner regionalFemale70-74,NSW,Inner regional,Female,70-74,82,2,5,10,2,101,29,36,4,0,8,77,147,153,68,16,60,9,453
NSWOuter regionalMale70-74,NSW,Outer regional,Male,70-74,28,2,4,2,1,37,15,8,2,0,3,28,9,31,13,4,22,3,82
NSWOuter regionalFemale70-74,NSW,Outer regional,Female,70-74,31,0,2,3,0,36,6,11,2,0,3,22,57,42,7,3,12,3,124
NSWRemoteMale70-74,NSW,Remote,Male,70-74,1,0,0,0,0,1,24,13,0,0,4,41,1,1,0,0,2,0,4
NSWRemoteFemale70-74,NSW,Remote,Female,70-74,1,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,4
VicMajor citiesMale70-74,Vic,Major cities,Male,70-74,170,6,8,13,7,204,73,74,17,0,8,172,91,279,136,52,206,30,794
VicMajor citiesFemale70-74,Vic,Major cities,Female,70-74,162,8,8,21,3,202,55,84,8,0,10,157,280,304,138,27,136,13,898
VicInner regionalMale70-74,Vic,Inner regional,Male,70-74,67,2,2,11,3,85,21,33,1,0,4,59,17,95,39,14,63,5,233
VicInner regionalFemale70-74,Vic,Inner regional,Female,70-74,69,3,1,5,3,81,28,23,2,0,7,60,86,93,37,6,41,6,269
VicOuter regionalMale70-74,Vic,Outer regional,Male,70-74,29,2,0,4,1,36,4,10,0,0,0,14,5,19,14,5,17,1,61
VicOuter regionalFemale70-74,Vic,Outer regional,Female,70-74,12,0,1,2,1,16,6,3,1,0,0,10,17,19,7,4,7,1,55
VicRemoteMale70-74,Vic,Remote,Male,70-74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
VicRemoteFemale70-74,Vic,Remote,Female,70-74,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
QldMajor citiesMale70-74,Qld,Major cities,Male,70-74,148,3,3,20,2,176,56,54,16,0,9,135,53,189,116,31,100,12,501
QldMajor citiesFemale70-74,Qld,Major cities,Female,70-74,113,4,0,18,1,136,47,46,4,0,9,106,171,179,87,13,73,15,538
QldInner regionalMale70-74,Qld,Inner regional,Male,70-74,74,2,2,3,2,83,13,27,4,0,3,47,25,80,43,11,66,8,233
QldInner regionalFemale70-74,Qld,Inner regional,Female,70-74,41,0,1,2,1,45,11,20,4,0,6,41,90,81,38,7,31,7,254
QldOuter regionalMale70-74,Qld,Outer regional,Male,70-74,25,1,0,2,1,29,10,11,2,0,2,25,16,40,20,8,32,1,117
QldOuter regionalFemale70-74,Qld,Outer regional,Female,70-74,25,2,0,2,0,29,8,10,2,0,3,23,41,49,16,4,15,1,126
QldRemoteMale70-74,Qld,Remote,Male,70-74,3,0,0,1,0,4,3,0,0,0,0,3,3,0,3,1,9,1,17
QldRemoteFemale70-74,Qld,Remote,Female,70-74,1,0,0,1,0,2,0,0,0,0,1,1,4,5,0,0,1,0,10
QldVery remoteMale70-74,Qld,Very remote,Male,70-74,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3
QldVery remoteFemale70-74,Qld,Very remote,Female,70-74,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,1,0,3
WAMajor citiesMale70-74,WA,Major cities,Male,70-74,76,1,4,2,1,84,20,36,5,0,7,68,25,133,66,19,56,5,304
WAMajor citiesFemale70-74,WA,Major cities,Female,70-74,54,3,2,3,1,63,15,26,5,0,4,50,99,110,65,14,36,7,331
WAInner regionalMale70-74,WA,Inner regional,Male,70-74,18,0,0,1,1,20,4,2,0,0,3,9,6,30,13,5,9,2,65
WAInner regionalFemale70-74,WA,Inner regional,Female,70-74,10,1,0,1,0,12,5,5,0,0,0,10,15,21,9,3,6,2,56
WAOuter regionalMale70-74,WA,Outer regional,Male,70-74,10,0,0,0,0,10,4,1,0,0,2,7,2,9,8,4,11,0,34
WAOuter regionalFemale70-74,WA,Outer regional,Female,70-74,4,0,0,0,0,4,4,7,0,0,0,11,9,18,7,4,0,0,38
WARemoteMale70-74,WA,Remote,Male,70-74,3,0,0,0,0,3,1,1,0,0,1,3,2,3,3,1,2,0,11
WARemoteFemale70-74,WA,Remote,Female,70-74,1,0,0,0,0,1,0,1,0,0,0,1,11,3,0,1,0,1,16
WAVery remoteMale70-74,WA,Very remote,Male,70-74,1,0,0,0,0,1,1,1,0,0,0,2,1,2,0,0,1,0,4
WAVery remoteFemale70-74,WA,Very remote,Female,70-74,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,6
SAMajor citiesMale70-74,SA,Major cities,Male,70-74,69,4,1,6,5,85,28,29,8,0,5,70,23,85,46,21,52,10,237
SAMajor citiesFemale70-74,SA,Major cities,Female,70-74,93,4,3,6,0,106,34,19,7,0,3,63,117,103,64,14,44,7,349
SAInner regionalMale70-74,SA,Inner regional,Male,70-74,10,0,0,1,0,11,2,3,0,0,0,5,1,11,2,2,11,0,27
SAInner regionalFemale70-74,SA,Inner regional,Female,70-74,11,1,0,0,0,12,2,3,0,0,0,5,16,21,9,1,3,0,50
SAOuter regionalMale70-74,SA,Outer regional,Male,70-74,4,0,0,1,0,5,5,4,0,0,0,9,8,20,4,4,8,1,45
SAOuter regionalFemale70-74,SA,Outer regional,Female,70-74,18,0,0,0,0,18,1,7,1,0,1,10,14,24,4,2,3,0,47
SARemoteMale70-74,SA,Remote,Male,70-74,1,0,0,0,0,1,10,8,0,0,1,19,1,1,0,0,0,0,2
SARemoteFemale70-74,SA,Remote,Female,70-74,0,0,0,0,0,0,1,2,0,0,0,3,1,1,0,1,1,0,4
TasInner regionalMale70-74,Tas,Inner regional,Male,70-74,14,1,0,0,0,15,7,23,0,0,1,31,6,32,16,4,22,0,80
TasInner regionalFemale70-74,Tas,Inner regional,Female,70-74,28,0,1,1,2,32,14,8,1,0,2,25,30,30,22,0,11,2,95
TasOuter regionalMale70-74,Tas,Outer regional,Male,70-74,4,0,0,0,0,4,2,4,1,0,0,7,5,7,6,3,10,0,31
TasOuter regionalFemale70-74,Tas,Outer regional,Female,70-74,10,0,0,0,0,10,6,5,0,0,2,13,14,17,6,0,1,0,38
TasRemoteMale70-74,Tas,Remote,Male,70-74,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
TasRemoteFemale70-74,Tas,Remote,Female,70-74,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,3
TasVery remoteMale70-74,Tas,Very remote,Male,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TasVery remoteFemale70-74,Tas,Very remote,Female,70-74,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
ACTMajor citiesMale70-74,ACT,Major cities,Male,70-74,12,0,0,0,0,12,3,3,0,0,2,8,6,15,12,2,6,1,42
ACTMajor citiesFemale70-74,ACT,Major cities,Female,70-74,10,0,1,0,1,12,3,3,0,0,1,7,16,20,15,2,4,2,59
NTOuter regionalMale70-74,NT,Outer regional,Male,70-74,5,1,0,0,0,6,2,1,1,0,0,4,2,6,4,2,6,0,20
NTOuter regionalFemale70-74,NT,Outer regional,Female,70-74,1,0,0,0,0,1,0,1,0,0,1,2,5,0,0,3,1,0,9
NTRemoteMale70-74,NT,Remote,Male,70-74,3,0,0,0,0,3,0,0,1,0,0,1,1,0,1,1,1,0,4
NTRemoteFemale70-74,NT,Remote,Female,70-74,0,0,0,0,0,0,0,2,1,0,0,3,6,4,1,1,0,2,14
NTVery remoteMale70-74,NT,Very remote,Male,70-74,2,0,0,1,0,3,0,1,0,0,0,1,1,0,1,1,1,0,4
NTVery remoteFemale70-74,NT,Very remote,Female,70-74,1,0,0,0,0,1,0,1,0,0,0,1,3,1,2,1,0,0,7
NSWMajor citiesMale75-79,NSW,Major cities,Male,75-79,537,32,13,33,13,628,142,228,16,0,30,416,279,669,219,81,331,32,1611
NSWMajor citiesFemale75-79,NSW,Major cities,Female,75-79,456,23,24,33,9,545,177,230,6,0,37,450,1065,690,252,56,229,33,2325
NSWInner regionalMale75-79,NSW,Inner regional,Male,75-79,227,7,11,15,1,261,62,94,8,0,14,178,112,236,63,32,71,17,531
NSWInner regionalFemale75-79,NSW,Inner regional,Female,75-79,192,6,6,16,2,222,72,103,1,0,28,204,416,261,84,18,82,10,871
NSWOuter regionalMale75-79,NSW,Outer regional,Male,75-79,40,3,2,3,2,50,13,22,0,0,6,41,41,51,16,10,35,1,154
NSWOuter regionalFemale75-79,NSW,Outer regional,Female,75-79,55,1,1,2,1,60,23,29,3,0,1,56,114,69,14,5,27,2,231
NSWRemoteMale75-79,NSW,Remote,Male,75-79,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,5
NSWRemoteFemale75-79,NSW,Remote,Female,75-79,1,0,1,0,0,2,1,1,1,0,1,4,4,1,0,0,0,0,5
VicMajor citiesMale75-79,Vic,Major cities,Male,75-79,370,20,13,23,7,433,106,166,7,0,22,301,198,606,177,54,211,24,1270
VicMajor citiesFemale75-79,Vic,Major cities,Female,75-79,405,16,15,28,9,473,134,179,9,1,18,341,856,636,205,39,164,28,1928
VicInner regionalMale75-79,Vic,Inner regional,Male,75-79,144,3,1,6,2,156,45,62,4,0,4,115,72,172,44,23,71,6,388
VicInner regionalFemale75-79,Vic,Inner regional,Female,75-79,129,3,3,8,0,143,43,64,5,0,7,119,285,202,48,11,43,12,601
VicOuter regionalMale75-79,Vic,Outer regional,Male,75-79,41,0,1,0,1,43,14,17,1,0,3,35,10,36,11,9,22,2,90
VicOuter regionalFemale75-79,Vic,Outer regional,Female,75-79,31,1,0,3,1,36,4,8,1,0,1,14,52,50,14,3,9,4,132
VicRemoteMale75-79,Vic,Remote,Male,75-79,1,0,0,0,0,1,19,10,0,0,2,31,0,0,0,0,1,0,1
VicRemoteFemale75-79,Vic,Remote,Female,75-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QldMajor citiesMale75-79,Qld,Major cities,Male,75-79,260,10,3,24,3,300,77,129,17,0,7,230,114,318,157,25,100,16,730
QldMajor citiesFemale75-79,Qld,Major cities,Female,75-79,239,8,4,28,6,285,78,108,8,0,14,208,508,325,140,14,103,21,1111
QldInner regionalMale75-79,Qld,Inner regional,Male,75-79,107,3,2,7,2,121,34,59,6,0,9,108,61,152,54,20,56,5,348
QldInner regionalFemale75-79,Qld,Inner regional,Female,75-79,100,3,2,7,1,113,36,51,1,0,11,99,227,173,38,4,28,14,484
QldOuter regionalMale75-79,Qld,Outer regional,Male,75-79,60,1,1,3,1,66,15,17,5,0,2,39,27,74,31,10,46,4,192
QldOuter regionalFemale75-79,Qld,Outer regional,Female,75-79,47,1,1,5,2,56,18,22,1,0,3,44,117,75,17,8,6,5,228
QldRemoteMale75-79,Qld,Remote,Male,75-79,3,0,1,0,0,4,3,0,1,0,0,4,3,3,0,4,5,1,16
QldRemoteFemale75-79,Qld,Remote,Female,75-79,2,0,1,0,0,3,3,0,0,0,0,3,9,4,0,0,2,1,16
QldVery remoteMale75-79,Qld,Very remote,Male,75-79,1,1,0,0,0,2,0,1,1,0,0,2,2,2,2,1,1,1,9
QldVery remoteFemale75-79,Qld,Very remote,Female,75-79,0,0,0,0,0,0,0,1,0,0,0,1,4,3,0,0,0,0,7
WAMajor citiesMale75-79,WA,Major cities,Male,75-79,130,7,10,5,3,155,32,63,4,0,16,115,59,184,67,24,62,12,408
WAMajor citiesFemale75-79,WA,Major cities,Female,75-79,118,5,4,11,1,139,43,59,6,0,8,116,330,233,91,18,46,12,730
WAInner regionalMale75-79,WA,Inner regional,Male,75-79,22,0,3,2,0,27,6,13,1,0,1,21,13,44,11,5,9,2,84
WAInner regionalFemale75-79,WA,Inner regional,Female,75-79,29,0,0,2,0,31,8,11,0,0,1,20,54,34,12,3,1,2,106
WAOuter regionalMale75-79,WA,Outer regional,Male,75-79,11,1,0,0,1,13,7,3,0,0,0,10,5,19,5,3,14,1,47
WAOuter regionalFemale75-79,WA,Outer regional,Female,75-79,14,1,2,0,1,18,3,11,0,0,1,15,41,24,6,1,7,1,80
WARemoteMale75-79,WA,Remote,Male,75-79,1,0,0,0,0,1,2,2,0,0,0,4,0,4,2,2,0,1,9
WARemoteFemale75-79,WA,Remote,Female,75-79,5,0,0,0,0,5,1,0,0,0,1,2,3,6,0,1,1,1,12
WAVery remoteMale75-79,WA,Very remote,Male,75-79,2,1,0,0,0,3,0,2,0,0,0,2,2,4,0,1,0,0,7
WAVery remoteFemale75-79,WA,Very remote,Female,75-79,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8
SAMajor citiesMale75-79,SA,Major cities,Male,75-79,135,3,2,5,2,147,37,67,2,0,5,111,68,211,63,18,44,9,413
SAMajor citiesFemale75-79,SA,Major cities,Female,75-79,151,1,3,12,2,169,53,76,7,0,6,142,304,230,97,11,46,9,697
SAInner regionalMale75-79,SA,Inner regional,Male,75-79,25,0,1,1,0,27,2,6,2,0,0,10,10,40,7,0,8,1,66
SAInner regionalFemale75-79,SA,Inner regional,Female,75-79,20,1,1,0,0,22,6,6,1,0,1,14,44,42,11,1,5,1,104
SAOuter regionalMale75-79,SA,Outer regional,Male,75-79,20,1,0,1,1,23,3,11,0,0,0,14,10,27,7,1,5,1,51
SAOuter regionalFemale75-79,SA,Outer regional,Female,75-79,28,0,1,1,0,30,11,9,2,0,1,23,46,41,3,1,3,1,95
SARemoteMale75-79,SA,Remote,Male,75-79,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,1,0,5
SARemoteFemale75-79,SA,Remote,Female,75-79,2,0,0,0,0,2,1,1,0,0,0,2,7,8,1,0,0,0,16
TasInner regionalMale75-79,Tas,Inner regional,Male,75-79,49,3,3,3,0,58,15,18,2,0,1,36,20,54,22,3,19,2,120
TasInner regionalFemale75-79,Tas,Inner regional,Female,75-79,56,0,1,3,0,60,21,14,3,0,2,40,92,80,31,2,12,0,217
TasOuter regionalMale75-79,Tas,Outer regional,Male,75-79,15,0,0,0,0,15,9,2,0,0,1,12,8,19,6,2,5,0,40
TasOuter regionalFemale75-79,Tas,Outer regional,Female,75-79,17,0,0,2,0,19,11,7,1,0,0,19,33,23,6,1,3,0,66
TasRemoteMale75-79,Tas,Remote,Male,75-79,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
TasRemoteFemale75-79,Tas,Remote,Female,75-79,1,0,1,0,0,2,1,1,0,0,0,2,0,2,0,0,0,0,2
TasVery remoteMale75-79,Tas,Very remote,Male,75-79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TasVery remoteFemale75-79,Tas,Very remote,Female,75-79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ACTMajor citiesMale75-79,ACT,Major cities,Male,75-79,27,0,0,2,0,29,7,9,2,0,1,19,18,32,5,1,12,0,68
ACTMajor citiesFemale75-79,ACT,Major cities,Female,75-79,28,0,1,0,0,29,12,14,0,0,3,29,57,30,11,1,4,7,110
NTOuter regionalMale75-79,NT,Outer regional,Male,75-79,3,2,0,0,0,5,2,3,1,0,3,9,2,10,3,1,6,2,24
NTOuter regionalFemale75-79,NT,Outer regional,Female,75-79,2,0,0,0,0,2,0,1,0,0,0,1,8,8,4,0,0,1,21
NTRemoteMale75-79,NT,Remote,Male,75-79,1,0,1,0,0,2,4,1,0,0,0,5,1,0,1,0,1,0,3
NTRemoteFemale75-79,NT,Remote,Female,75-79,2,1,0,0,0,3,1,2,0,0,0,3,10,0,1,0,0,0,11
NTVery remoteMale75-79,NT,Very remote,Male,75-79,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,3
NTVery remoteFemale75-79,NT,Very remote,Female,75-79,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,5
NSWMajor citiesMale80-84,NSW,Major cities,Male,80-84,967,49,22,44,10,1092,222,451,27,0,47,747,592,1178,228,78,346,46,2468
NSWMajor citiesFemale80-84,NSW,Major cities,Female,80-84,1183,57,40,78,14,1372,387,435,24,0,60,906,3050,1343,385,68,382,75,5303
NSWInner regionalMale80-84,NSW,Inner regional,Male,80-84,406,8,10,25,2,451,91,177,13,0,15,296,236,429,86,27,112,9,899
NSWInner regionalFemale80-84,NSW,Inner regional,Female,80-84,460,16,12,25,5,518,136,148,11,0,33,328,1032,535,103,29,101,26,1826
NSWOuter regionalMale80-84,NSW,Outer regional,Male,80-84,81,4,2,2,0,89,37,28,2,0,4,71,69,100,26,12,49,4,260
NSWOuter regionalFemale80-84,NSW,Outer regional,Female,80-84,101,4,3,5,2,115,49,49,2,0,8,108,291,122,10,4,26,4,457
NSWRemoteMale80-84,NSW,Remote,Male,80-84,3,0,1,0,0,4,1,2,0,0,0,3,1,6,0,0,2,0,9
NSWRemoteFemale80-84,NSW,Remote,Female,80-84,2,0,2,0,0,4,0,2,0,0,0,2,8,2,0,0,1,0,11
VicMajor citiesMale80-84,Vic,Major cities,Male,80-84,749,26,18,40,16,849,185,342,16,0,28,571,419,1032,162,55,215,22,1905
VicMajor citiesFemale80-84,Vic,Major cities,Female,80-84,912,31,19,48,5,1015,317,374,20,0,43,754,2509,1190,266,56,270,51,4342
VicInner regionalMale80-84,Vic,Inner regional,Male,80-84,296,5,7,7,3,318,62,117,9,0,12,200,147,314,52,23,72,8,616
VicInner regionalFemale80-84,Vic,Inner regional,Female,80-84,331,4,5,13,2,355,110,105,2,0,21,238,774,384,59,17,59,17,1310
VicOuter regionalMale80-84,Vic,Outer regional,Male,80-84,67,2,3,0,1,73,14,21,2,0,2,39,40,68,6,5,20,3,142
VicOuter regionalFemale80-84,Vic,Outer regional,Female,80-84,56,1,3,4,3,67,25,22,0,0,6,53,162,92,11,3,9,2,279
VicRemoteMale80-84,Vic,Remote,Male,80-84,2,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,2
VicRemoteFemale80-84,Vic,Remote,Female,80-84,1,0,0,0,0,1,0,1,0,0,0,1,4,2,0,0,1,0,7
QldMajor citiesMale80-84,Qld,Major cities,Male,80-84,443,14,6,26,4,493,107,228,18,0,15,368,299,592,118,33,141,26,1209
QldMajor citiesFemale80-84,Qld,Major cities,Female,80-84,576,14,4,38,2,634,168,214,10,0,33,425,1460,666,163,32,172,29,2522
QldInner regionalMale80-84,Qld,Inner regional,Male,80-84,203,3,5,10,2,223,54,91,3,0,12,160,117,252,39,9,62,6,485
QldInner regionalFemale80-84,Qld,Inner regional,Female,80-84,211,2,3,9,3,228,101,82,3,0,16,202,563,263,42,19,50,13,950
QldOuter regionalMale80-84,Qld,Outer regional,Male,80-84,86,6,1,1,2,96,24,49,4,0,6,83,62,113,24,15,41,5,260
QldOuter regionalFemale80-84,Qld,Outer regional,Female,80-84,112,2,3,6,0,123,46,51,1,0,8,106,293,148,24,10,20,2,497
QldRemoteMale80-84,Qld,Remote,Male,80-84,8,0,1,0,2,11,3,1,1,0,2,7,5,5,3,1,9,0,23
QldRemoteFemale80-84,Qld,Remote,Female,80-84,8,1,0,1,0,10,3,4,0,0,1,8,18,7,2,1,1,2,31
QldVery remoteMale80-84,Qld,Very remote,Male,80-84,2,0,0,0,0,2,3,3,0,0,1,7,2,5,0,1,4,0,12
QldVery remoteFemale80-84,Qld,Very remote,Female,80-84,5,0,0,0,0,5,1,1,0,0,0,2,4,0,1,0,1,0,6
WAMajor citiesMale80-84,WA,Major cities,Male,80-84,242,16,6,8,10,282,70,115,7,0,26,218,162,334,70,15,81,8,670
WAMajor citiesFemale80-84,WA,Major cities,Female,80-84,310,18,11,10,6,355,112,137,3,0,33,285,826,437,104,23,67,9,1466
WAInner regionalMale80-84,WA,Inner regional,Male,80-84,63,0,0,1,2,66,10,24,1,0,2,37,34,71,10,4,16,2,137
WAInner regionalFemale80-84,WA,Inner regional,Female,80-84,80,0,1,3,2,86,17,22,1,0,4,44,176,73,11,7,8,1,276
WAOuter regionalMale80-84,WA,Outer regional,Male,80-84,28,1,0,1,1,31,6,13,0,0,2,21,17,36,7,3,8,1,72
WAOuter regionalFemale80-84,WA,Outer regional,Female,80-84,27,1,1,2,1,32,17,23,0,0,3,43,80,35,9,0,3,3,130
WARemoteMale80-84,WA,Remote,Male,80-84,5,0,1,0,0,6,0,3,1,0,0,4,7,10,1,0,0,1,19
WARemoteFemale80-84,WA,Remote,Female,80-84,4,0,0,0,0,4,0,4,0,0,2,6,8,7,3,0,1,1,20
WAVery remoteMale80-84,WA,Very remote,Male,80-84,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,1,0,3
WAVery remoteFemale80-84,WA,Very remote,Female,80-84,1,0,0,1,0,2,0,1,1,0,1,3,4,2,0,1,0,0,7
SAMajor citiesMale80-84,SA,Major cities,Male,80-84,296,5,1,6,2,310,61,126,8,0,11,206,182,416,71,30,66,7,772
SAMajor citiesFemale80-84,SA,Major cities,Female,80-84,421,3,3,11,4,442,132,126,7,0,20,285,1002,450,105,9,85,12,1663
SAInner regionalMale80-84,SA,Inner regional,Male,80-84,44,0,0,0,0,44,7,25,1,0,1,34,16,67,9,3,12,1,108
SAInner regionalFemale80-84,SA,Inner regional,Female,80-84,52,0,1,1,0,54,16,22,3,0,3,44,139,80,7,4,10,1,241
SAOuter regionalMale80-84,SA,Outer regional,Male,80-84,36,0,0,1,0,37,6,21,0,0,1,28,20,51,7,1,8,3,90
SAOuter regionalFemale80-84,SA,Outer regional,Female,80-84,55,0,1,2,0,58,14,20,0,0,6,40,138,53,7,1,1,2,202
SARemoteMale80-84,SA,Remote,Male,80-84,3,0,0,0,0,3,0,2,0,0,0,2,3,5,0,0,2,1,11
SARemoteFemale80-84,SA,Remote,Female,80-84,4,0,0,0,0,4,2,4,0,0,1,7,16,7,2,1,0,1,27
TasInner regionalMale80-84,Tas,Inner regional,Male,80-84,87,1,2,2,0,92,25,42,0,0,4,71,53,101,19,4,15,0,192
TasInner regionalFemale80-84,Tas,Inner regional,Female,80-84,141,2,2,5,1,151,38,42,3,0,5,88,250,112,23,2,31,2,420
TasOuter regionalMale80-84,Tas,Outer regional,Male,80-84,31,0,0,1,0,32,8,11,0,0,0,19,21,40,8,0,5,0,74
TasOuter regionalFemale80-84,Tas,Outer regional,Female,80-84,31,1,1,1,1,35,15,13,0,0,1,29,88,34,6,1,6,0,135
TasRemoteMale80-84,Tas,Remote,Male,80-84,2,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,3
TasRemoteFemale80-84,Tas,Remote,Female,80-84,0,0,0,0,0,0,0,1,0,0,0,1,7,2,1,0,0,0,10
TasVery remoteMale80-84,Tas,Very remote,Male,80-84,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
TasVery remoteFemale80-84,Tas,Very remote,Female,80-84,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,3
ACTMajor citiesMale80-84,ACT,Major cities,Male,80-84,39,2,1,0,0,42,10,24,2,0,0,36,27,72,7,1,10,1,118
ACTMajor citiesFemale80-84,ACT,Major cities,Female,80-84,56,0,1,3,1,61,22,15,0,0,5,42,141,73,27,4,18,2,265
NTOuter regionalMale80-84,NT,Outer regional,Male,80-84,8,1,1,0,0,10,1,6,3,0,2,12,4,11,4,0,9,0,28
NTOuter regionalFemale80-84,NT,Outer regional,Female,80-84,5,0,0,0,0,5,3,5,0,0,0,8,21,10,3,1,0,1,36
NTRemoteMale80-84,NT,Remote,Male,80-84,2,0,0,0,0,2,0,0,1,0,0,1,5,2,1,2,3,0,13
NTRemoteFemale80-84,NT,Remote,Female,80-84,4,0,0,2,0,6,2,2,0,0,0,4,7,1,3,0,1,0,12
